name,status,observed,expected,detail
PAIR_2014_North: raw feature NaN cells,WARN,81333,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_North: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_Toronto: year identity,PASS,[2014],[2014],
PAIR_2014_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2014_Toronto: parseable dates,PASS,0,0,
PAIR_2014_Toronto: date.year == year,PASS,0,0,
PAIR_2014_Toronto: pair-key identity,PASS,['2014|Toronto'],"['2014_Toronto', '2014|Toronto', 'PAIR_2014_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_Toronto: target NaN,PASS,0,0,
PAIR_2014_Toronto: target finite,PASS,0,0,
PAIR_2014_Toronto: stored feature width,PASS,651,651,
PAIR_2014_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2014_Toronto: lag1 feature count,PASS,73,73,
PAIR_2014_Toronto: rolling feature count,PASS,438,438,
PAIR_2014_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2014_Toronto: infinite feature values,PASS,0,0,
PAIR_2014_Toronto: raw feature NaN cells,WARN,16806,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_West_NH: year identity,PASS,[2014],[2014],
PAIR_2014_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2014_West_NH: parseable dates,PASS,0,0,
PAIR_2014_West_NH: date.year == year,PASS,0,0,
PAIR_2014_West_NH: pair-key identity,PASS,['2014|West_NH'],"['2014_West_NH', '2014|West_NH', 'PAIR_2014_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_West_NH: target NaN,PASS,0,0,
PAIR_2014_West_NH: target finite,PASS,0,0,
PAIR_2014_West_NH: stored feature width,PASS,651,651,
PAIR_2014_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2014_West_NH: lag1 feature count,PASS,73,73,
PAIR_2014_West_NH: rolling feature count,PASS,438,438,
PAIR_2014_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2014_West_NH: infinite feature values,PASS,0,0,
PAIR_2014_West_NH: raw feature NaN cells,WARN,116143,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_West_NH: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2014_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2014_West_SW: year identity,PASS,[2014],[2014],
PAIR_2014_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2014_West_SW: parseable dates,PASS,0,0,
PAIR_2014_West_SW: date.year == year,PASS,0,0,
PAIR_2014_West_SW: pair-key identity,PASS,['2014|West_SW'],"['2014_West_SW', '2014|West_SW', 'PAIR_2014_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2014_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2014_West_SW: target NaN,PASS,0,0,
PAIR_2014_West_SW: target finite,PASS,0,0,
PAIR_2014_West_SW: stored feature width,PASS,651,651,
PAIR_2014_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2014_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2014_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2014_West_SW: lag1 feature count,PASS,73,73,
PAIR_2014_West_SW: rolling feature count,PASS,438,438,
PAIR_2014_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2014_West_SW: infinite feature values,PASS,0,0,
PAIR_2014_West_SW: raw feature NaN cells,WARN,176341,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2014_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2014_West_SW: constant/all-NaN features,WARN,"['burned_frac_500km', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_Central: year identity,PASS,[2015],[2015],
PAIR_2015_Central: region identity,PASS,['Central'],['Central'],
PAIR_2015_Central: parseable dates,PASS,0,0,
PAIR_2015_Central: date.year == year,PASS,0,0,
PAIR_2015_Central: pair-key identity,PASS,['2015|Central'],"['2015_Central', '2015|Central', 'PAIR_2015_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_Central: target NaN,PASS,0,0,
PAIR_2015_Central: target finite,PASS,0,0,
PAIR_2015_Central: stored feature width,PASS,651,651,
PAIR_2015_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_Central: no target-derived feature names,PASS,[],[],
PAIR_2015_Central: lag1 feature count,PASS,73,73,
PAIR_2015_Central: rolling feature count,PASS,438,438,
PAIR_2015_Central: total temporal derivatives,PASS,511,511,
PAIR_2015_Central: infinite feature values,PASS,0,0,
PAIR_2015_Central: raw feature NaN cells,WARN,27444,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_East: year identity,PASS,[2015],[2015],
PAIR_2015_East: region identity,PASS,['East'],['East'],
PAIR_2015_East: parseable dates,PASS,0,0,
PAIR_2015_East: date.year == year,PASS,0,0,
PAIR_2015_East: pair-key identity,PASS,['2015|East'],"['2015_East', '2015|East', 'PAIR_2015_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_East: target NaN,PASS,0,0,
PAIR_2015_East: target finite,PASS,0,0,
PAIR_2015_East: stored feature width,PASS,651,651,
PAIR_2015_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_East: no target-derived feature names,PASS,[],[],
PAIR_2015_East: lag1 feature count,PASS,73,73,
PAIR_2015_East: rolling feature count,PASS,438,438,
PAIR_2015_East: total temporal derivatives,PASS,511,511,
PAIR_2015_East: infinite feature values,PASS,0,0,
PAIR_2015_East: raw feature NaN cells,WARN,29252,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_North: year identity,PASS,[2015],[2015],
PAIR_2015_North: region identity,PASS,['North'],['North'],
PAIR_2015_North: parseable dates,PASS,0,0,
PAIR_2015_North: date.year == year,PASS,0,0,
PAIR_2015_North: pair-key identity,PASS,['2015|North'],"['2015_North', '2015|North', 'PAIR_2015_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_North: target NaN,PASS,0,0,
PAIR_2015_North: target finite,PASS,0,0,
PAIR_2015_North: stored feature width,PASS,651,651,
PAIR_2015_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_North: no target-derived feature names,PASS,[],[],
PAIR_2015_North: lag1 feature count,PASS,73,73,
PAIR_2015_North: rolling feature count,PASS,438,438,
PAIR_2015_North: total temporal derivatives,PASS,511,511,
PAIR_2015_North: infinite feature values,PASS,0,0,
PAIR_2015_North: raw feature NaN cells,WARN,76801,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_North: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_Toronto: year identity,PASS,[2015],[2015],
PAIR_2015_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2015_Toronto: parseable dates,PASS,0,0,
PAIR_2015_Toronto: date.year == year,PASS,0,0,
PAIR_2015_Toronto: pair-key identity,PASS,['2015|Toronto'],"['2015_Toronto', '2015|Toronto', 'PAIR_2015_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_Toronto: target NaN,PASS,0,0,
PAIR_2015_Toronto: target finite,PASS,0,0,
PAIR_2015_Toronto: stored feature width,PASS,651,651,
PAIR_2015_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2015_Toronto: lag1 feature count,PASS,73,73,
PAIR_2015_Toronto: rolling feature count,PASS,438,438,
PAIR_2015_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2015_Toronto: infinite feature values,PASS,0,0,
PAIR_2015_Toronto: raw feature NaN cells,WARN,15219,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_West_NH: year identity,PASS,[2015],[2015],
PAIR_2015_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2015_West_NH: parseable dates,PASS,0,0,
PAIR_2015_West_NH: date.year == year,PASS,0,0,
PAIR_2015_West_NH: pair-key identity,PASS,['2015|West_NH'],"['2015_West_NH', '2015|West_NH', 'PAIR_2015_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_West_NH: target NaN,PASS,0,0,
PAIR_2015_West_NH: target finite,PASS,0,0,
PAIR_2015_West_NH: stored feature width,PASS,651,651,
PAIR_2015_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2015_West_NH: lag1 feature count,PASS,73,73,
PAIR_2015_West_NH: rolling feature count,PASS,438,438,
PAIR_2015_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2015_West_NH: infinite feature values,PASS,0,0,
PAIR_2015_West_NH: raw feature NaN cells,WARN,116367,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_West_NH: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2015_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2015_West_SW: year identity,PASS,[2015],[2015],
PAIR_2015_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2015_West_SW: parseable dates,PASS,0,0,
PAIR_2015_West_SW: date.year == year,PASS,0,0,
PAIR_2015_West_SW: pair-key identity,PASS,['2015|West_SW'],"['2015_West_SW', '2015|West_SW', 'PAIR_2015_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2015_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2015_West_SW: target NaN,PASS,0,0,
PAIR_2015_West_SW: target finite,PASS,0,0,
PAIR_2015_West_SW: stored feature width,PASS,651,651,
PAIR_2015_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2015_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2015_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2015_West_SW: lag1 feature count,PASS,73,73,
PAIR_2015_West_SW: rolling feature count,PASS,438,438,
PAIR_2015_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2015_West_SW: infinite feature values,PASS,0,0,
PAIR_2015_West_SW: raw feature NaN cells,WARN,172347,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2015_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2015_West_SW: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_Central: year identity,PASS,[2016],[2016],
PAIR_2016_Central: region identity,PASS,['Central'],['Central'],
PAIR_2016_Central: parseable dates,PASS,0,0,
PAIR_2016_Central: date.year == year,PASS,0,0,
PAIR_2016_Central: pair-key identity,PASS,['2016|Central'],"['2016_Central', '2016|Central', 'PAIR_2016_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_Central: target NaN,PASS,0,0,
PAIR_2016_Central: target finite,PASS,0,0,
PAIR_2016_Central: stored feature width,PASS,651,651,
PAIR_2016_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2016_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_Central: no target-derived feature names,PASS,[],[],
PAIR_2016_Central: lag1 feature count,PASS,73,73,
PAIR_2016_Central: rolling feature count,PASS,438,438,
PAIR_2016_Central: total temporal derivatives,PASS,511,511,
PAIR_2016_Central: infinite feature values,PASS,0,0,
PAIR_2016_Central: raw feature NaN cells,WARN,11692,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_East: year identity,PASS,[2016],[2016],
PAIR_2016_East: region identity,PASS,['East'],['East'],
PAIR_2016_East: parseable dates,PASS,0,0,
PAIR_2016_East: date.year == year,PASS,0,0,
PAIR_2016_East: pair-key identity,PASS,['2016|East'],"['2016_East', '2016|East', 'PAIR_2016_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_East: target NaN,PASS,0,0,
PAIR_2016_East: target finite,PASS,0,0,
PAIR_2016_East: stored feature width,PASS,651,651,
PAIR_2016_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2016_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_East: no target-derived feature names,PASS,[],[],
PAIR_2016_East: lag1 feature count,PASS,73,73,
PAIR_2016_East: rolling feature count,PASS,438,438,
PAIR_2016_East: total temporal derivatives,PASS,511,511,
PAIR_2016_East: infinite feature values,PASS,0,0,
PAIR_2016_East: raw feature NaN cells,WARN,28193,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_North: year identity,PASS,[2016],[2016],
PAIR_2016_North: region identity,PASS,['North'],['North'],
PAIR_2016_North: parseable dates,PASS,0,0,
PAIR_2016_North: date.year == year,PASS,0,0,
PAIR_2016_North: pair-key identity,PASS,['2016|North'],"['2016_North', '2016|North', 'PAIR_2016_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_North: target NaN,PASS,0,0,
PAIR_2016_North: target finite,PASS,0,0,
PAIR_2016_North: stored feature width,PASS,651,651,
PAIR_2016_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2016_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_North: no target-derived feature names,PASS,[],[],
PAIR_2016_North: lag1 feature count,PASS,73,73,
PAIR_2016_North: rolling feature count,PASS,438,438,
PAIR_2016_North: total temporal derivatives,PASS,511,511,
PAIR_2016_North: infinite feature values,PASS,0,0,
PAIR_2016_North: raw feature NaN cells,WARN,74102,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_North: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_Toronto: year identity,PASS,[2016],[2016],
PAIR_2016_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2016_Toronto: parseable dates,PASS,0,0,
PAIR_2016_Toronto: date.year == year,PASS,0,0,
PAIR_2016_Toronto: pair-key identity,PASS,['2016|Toronto'],"['2016_Toronto', '2016|Toronto', 'PAIR_2016_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_Toronto: target NaN,PASS,0,0,
PAIR_2016_Toronto: target finite,PASS,0,0,
PAIR_2016_Toronto: stored feature width,PASS,651,651,
PAIR_2016_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2016_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2016_Toronto: lag1 feature count,PASS,73,73,
PAIR_2016_Toronto: rolling feature count,PASS,438,438,
PAIR_2016_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2016_Toronto: infinite feature values,PASS,0,0,
PAIR_2016_Toronto: raw feature NaN cells,WARN,13978,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_West_NH: year identity,PASS,[2016],[2016],
PAIR_2016_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2016_West_NH: parseable dates,PASS,0,0,
PAIR_2016_West_NH: date.year == year,PASS,0,0,
PAIR_2016_West_NH: pair-key identity,PASS,['2016|West_NH'],"['2016_West_NH', '2016|West_NH', 'PAIR_2016_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_West_NH: target NaN,PASS,0,0,
PAIR_2016_West_NH: target finite,PASS,0,0,
PAIR_2016_West_NH: stored feature width,PASS,651,651,
PAIR_2016_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2016_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2016_West_NH: lag1 feature count,PASS,73,73,
PAIR_2016_West_NH: rolling feature count,PASS,438,438,
PAIR_2016_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2016_West_NH: infinite feature values,PASS,0,0,
PAIR_2016_West_NH: raw feature NaN cells,WARN,64964,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_West_NH: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2016_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2016_West_SW: year identity,PASS,[2016],[2016],
PAIR_2016_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2016_West_SW: parseable dates,PASS,0,0,
PAIR_2016_West_SW: date.year == year,PASS,0,0,
PAIR_2016_West_SW: pair-key identity,PASS,['2016|West_SW'],"['2016_West_SW', '2016|West_SW', 'PAIR_2016_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2016_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2016_West_SW: target NaN,PASS,0,0,
PAIR_2016_West_SW: target finite,PASS,0,0,
PAIR_2016_West_SW: stored feature width,PASS,651,651,
PAIR_2016_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
